Title,Duration,Genre,Rating,Gross,Director,Lead,Year
Cold Creek Manor,118 min,"Drama, Mystery, Thriller",R,21.38,Mike Figgis,Dennis Quaid,2003
The Place Beyond the Pines,140 min,"Crime, Drama, Thriller",R,21.38,Derek Cianfrance,Ryan Gosling,2012
The Fog,89 min,"Horror, Thriller",R,21.38,John Carpenter,Adrienne Barbeau,1980
Skyline,92 min,"Action, Sci-Fi, Thriller",PG-13,21.37,Colin Strause,Greg Strause,2010
Raising Cain,92 min,"Crime, Drama, Horror",R,21.37,Brian De Palma,John Lithgow,1992
Waist Deep,97 min,"Action, Crime, Drama",R,21.32,Vondie Curtis-Hall,Tyrese Gibson,2006
To Die For,106 min,"Comedy, Crime, Drama",R,21.28,Gus Van Sant,Nicole Kidman,1995
Dream House,92 min,"Drama, Mystery, Thriller",PG-13,21.28,Jim Sheridan,Daniel Craig,2011
Mechanic: Resurrection,98 min,"Action, Adventure, Crime",R,21.22,Dennis Gansel,Jason Statham,2016
Cujo,93 min,"Horror, Thriller",R,21.2,Lewis Teague,Dee Wallace,1983
Christine,110 min,"Horror, Thriller",R,21.2,John Carpenter,Keith Gordon,1983
"As Above, So Below",93 min,"Horror, Mystery, Thriller",R,21.2,John Erick Dowdle,Perdita Weeks,2014
The Next Three Days,133 min,"Action, Crime, Drama",PG-13,21.15,Paul Haggis,Russell Crowe,2010
Stir of Echoes,99 min,"Horror, Mystery, Thriller",R,21.13,David Koepp,Kevin Bacon,1999
47 Meters Down: Uncaged,90 min,"Adventure, Drama, Horror",PG-13,21.11,Johannes Roberts,Sophie Nélisse,2019
Tales from the Crypt: Demon Knight,92 min,"Action, Fantasy, Horror",R,21.09,Ernest R. Dickerson,Billy Zane,1995
F/X2,108 min,"Action, Thriller",PG-13,21.08,Richard Franklin,Bryan Brown,1991
Flight of the Phoenix,113 min,"Action, Adventure, Drama",PG-13,21.01,John Moore,Dennis Quaid,2004
The X Files: I Want to Believe,104 min,"Crime, Drama, Horror",PG-13,20.98,Chris Carter,David Duchovny,2008
The Man with the Golden Gun,125 min,"Action, Adventure, Thriller",PG,20.97,Guy Hamilton,Roger Moore,1974
Proud Mary,89 min,"Action, Crime, Drama",R,20.87,Babak Najafi,Taraji P. Henson,2018
The Hills Have Eyes 2,89 min,"Horror, Thriller",R,20.8,Martin Weisz,Daniella Alonso,2007
